timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-351.421875	0	0	-0.04323047027	16000
5000	-12433.31445	722.4571533	0.2409395278	1.575152755	2004.025269
10000	-12031.89844	1332.561157	0.444409281	1.585445046	2119.42749
15000	-11554.66113	1775.737061	0.5922085047	1.511630654	2213.501953
20000	-11304.70703	1922.099854	0.6410204768	1.752631187	2236.474854
25000	-11277.4209	2052.311279	0.6844459772	1.405364752	2267.853516
30000	-11098.2832	2078.171387	0.6930703521	1.658184409	2282.994629
35000	-11159.31055	2070.295654	0.6904438138	1.470116973	2292.835205
40000	-11324.54688	2097.821533	0.699623704	1.587436199	2269.714355
45000	-11316.90527	2115.523438	0.705527246	1.821067691	2264.774414
50000	-11315.06445	2087.986328	0.6963436604	1.616242647	2265.545898
55000	-11248.14453	2091.717041	0.6975878477	1.304956794	2295.983154
60000	-11257.72168	2092.253906	0.6977669001	1.546052456	2280.686523
65000	-11223.56543	2116.849121	0.7059693933	1.396734953	2298.711914
70000	-11298.16699	2094.337891	0.6984618902	1.437799931	2285.17334
75000	-11265.13086	2092.401855	0.6978161931	1.390519381	2292.081299
80000	-11320.61133	2085.688965	0.6955774426	1.414010525	2289.184326
85000	-11236.88086	2060.569336	0.6872000694	1.540472984	2286.708984
90000	-11215.3125	2083.540039	0.694860816	1.650927901	2282.687012
95000	-11371.70898	2126.129883	0.7090645432	1.433638573	2272.605713
100000	-11300.19141	2095.454834	0.6988343596	1.513304472	2286.484375
105000	-11281.78516	2160.995605	0.7206922174	1.375665545	2292.676758
110000	-11263.36914	2152.148926	0.717741847	1.466899157	2300.38623
115000	-11259.8877	2076.891357	0.6926434636	1.576333404	2284.794922
120000	-11362.37695	2123.808105	0.7082902193	1.425009727	2281.039551
125000	-11235.73828	2106.706055	0.7025866508	1.577139258	2295.377197
130000	-11264.64844	2085.722656	0.6955887079	1.505616903	2288.981445
135000	-11309.71777	2067.368408	0.6894675493	1.48517549	2283.529541
140000	-11279.21289	2123.080566	0.7080475688	1.405020714	2295.908447
145000	-11284.06445	2095.160645	0.6987362504	1.676580071	2279.167969
150000	-11313.86621	2044.32312	0.6817819476	1.37082684	2287.542969
155000	-11354.74023	2096.813965	0.699287653	1.365323186	2284.554932
160000	-11331.11328	2068.157715	0.689730823	1.303789496	2291.102051
165000	-11394.06738	2144.338867	0.7151372433	1.463088989	2276.485352
170000	-11350.50586	2101.766113	0.7009391785	1.453199029	2284.073486
175000	-11248.3125	2080.495605	0.6938455105	1.556017637	2291.434082
180000	-11292.5498	2101.395996	0.7008157372	1.44289434	2294.569336
185000	-11322.54199	2077.304688	0.6927813292	1.434052825	2286.807861
190000	-11336.48438	2119.802734	0.7069544196	1.517636299	2278.718018
195000	-11257.41406	2118.271484	0.706443727	1.413808703	2300.94165
200000	-11292.07715	2125.586182	0.7088831663	1.397089124	2296.383545
205000	-11297.46387	2233.214844	0.7447773814	1.699965477	2275.739258
210000	-11375.63672	2114.219238	0.7050923109	1.424656868	2283.218994
215000	-11293.57227	2044.386475	0.6818031073	1.678513765	2275.335938
220000	-11331.79688	2129.991699	0.7103524208	1.588549137	2276.598877
225000	-11234.01953	2050.366211	0.6837972999	1.541557193	2299.845459
230000	-11303.19727	2078.581055	0.6932069659	1.657096982	2283.061523
235000	-11361.46582	2080.569824	0.6938702464	1.364955664	2297.608887
