timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-381.4453125	0	0	-0.04692383111	16000
5000	-11733.48633	1386.654297	0.462449342	1.512537599	2142.023438
10000	-10416.83008	2427.70459	0.8096396923	1.304095268	2432.622803
15000	-9506.0625	2985.210449	0.9955679774	1.508916259	2594.820312
20000	-9244.335938	3214.976562	1.072194934	1.554276109	2687.915771
25000	-9184.599609	3365.861816	1.122515202	1.408158302	2706.952637
30000	-9171.368164	3357.835449	1.119838476	1.631670356	2671.823486
35000	-9297.589844	3378.195068	1.126628399	1.543884277	2654.424316
40000	-9128.730469	3194.834229	1.06547749	1.527034998	2684.889893
45000	-9237.185547	3252.183838	1.084603667	1.492702246	2680.803955
50000	-9261.138672	3355.797852	1.119158864	1.585380793	2656.178711
55000	-9188.527344	3312.041016	1.104565978	1.683137774	2656.890625
60000	-9283.591797	3343.62207	1.115098238	1.660650015	2653.924805
65000	-9299.363281	3241.652588	1.081091404	1.416064858	2677.564209
70000	-9298.606445	3333.772949	1.111813545	1.530170321	2658.828857
75000	-9358.185547	3125.401367	1.042321682	1.356695175	2661.141602
80000	-9226.544922	3159.048584	1.053542972	1.420287609	2690.029297
85000	-9202.482422	3404.054199	1.135252357	1.506820917	2687.757568
90000	-9284.670898	3202.821289	1.068141222	1.445486426	2678.382324
95000	-9245.097656	3195.373047	1.065657258	1.358554363	2689.050537
100000	-9107.134766	3298.10083	1.099916935	1.409301996	2702.859619
105000	-9231.49707	3254.389648	1.085339308	1.54219532	2661.273193
110000	-9451.947266	3248.511963	1.08337903	1.215699792	2667.995605
115000	-9376.09375	3199.424805	1.067008495	1.747236609	2630.838379
120000	-9173.580078	3237.591797	1.079737186	1.358225226	2696.467773
125000	-9170.027344	3375.500488	1.12572968	1.463380218	2697.323975
130000	-9108.060547	3330.104004	1.110589981	1.538833976	2697.390137
135000	-9128.039062	3470.201904	1.157312632	1.545202613	2693.50708
140000	-9123.53125	3323.51001	1.108390927	1.549875855	2707.793701
145000	-9145.926758	3325.069336	1.108910918	1.390300274	2703.678711
150000	-9281.914062	3364.540039	1.122074366	1.528915763	2679.665283
155000	-9234.707031	3207.850098	1.069818258	1.562484741	2670.874268
160000	-9413.916016	3302.624268	1.101425529	1.417269349	2679.348145
165000	-9341.414062	3270.553223	1.090729833	1.374917865	2678.937012
170000	-9192.185547	3185.934082	1.062509298	1.300740361	2682.474365
175000	-9327.459961	3283.193848	1.094945431	1.478795648	2673.464844
180000	-9354.550781	3287.000488	1.09621501	1.50063765	2670.758301
185000	-9420.795898	3285.19873	1.095614076	1.504879594	2647.893799
190000	-9335.665039	3255.93335	1.085854053	1.560250163	2646.489502
195000	-9278.725586	3284.969238	1.095537543	1.408919215	2675.209961
200000	-9233.664062	3303.631348	1.101761341	1.396650791	2679.202148
205000	-9404.018555	3284.23877	1.095293999	1.501154542	2635.376953
210000	-9261.410156	3265.073242	1.088902235	1.554820061	2651.075684
215000	-9190.322266	3346.61499	1.116096377	1.457536817	2703.044434
220000	-9232.397461	3392.27002	1.131322384	1.357141852	2698.003418
225000	-9285.966797	3325.476562	1.109046698	1.542344809	2663.858887
230000	-9313.183594	3198.113281	1.066571116	1.499649048	2658.491211
235000	-9166.964844	3244.384521	1.082002521	1.559821248	2690.742676
240000	-9252.275391	3301.632812	1.101094842	1.569713712	2661.578369
245000	-9236.873047	3254.686279	1.085438132	1.544939995	2669.541992
250000	-9268.46582	3141.201416	1.047590971	1.150177598	2693.625732
255000	-9380.537109	3262.988281	1.088206887	1.624420404	2647.054199
260000	-9334.314453	3329.715332	1.110460401	1.438198924	2681.786133
265000	-9258.563477	3317.025879	1.106228471	1.44638741	2675.99585
270000	-9156.027344	3338.578125	1.113416076	1.601175427	2691.439209
275000	-9073.134766	3350.80835	1.117494941	1.230904102	2729.156494
280000	-9137.604492	3297.450684	1.099700093	1.505656362	2706.355469
285000	-9177.199219	3342.354004	1.114675403	1.43672514	2710.500488
290000	-9230.421875	3279.396973	1.09367919	1.616609693	2654.20459
295000	-9296.492188	3189.833008	1.063809633	1.736670732	2652.166748
300000	-9186.166016	3318.296875	1.106652379	1.539874554	2677.132568
305000	-9215.660156	3284.68457	1.095442653	1.71293211	2665.714844
310000	-9169.836914	3210.696289	1.070767522	1.465665698	2703.89502
315000	-9203.927734	3373.252197	1.124979973	1.285963416	2696.162598
320000	-9136.070312	3261.049316	1.087560296	1.4350456	2698.57373
325000	-9212.519531	3353.96875	1.11854887	1.469219685	2708.013672
330000	-9201.673828	3388.914551	1.130203366	1.304659367	2729.673828
335000	-9134.236328	3406.716309	1.136140227	1.472020149	2711.471191
340000	-9225.660156	3345.525391	1.115733027	1.551611543	2704.104248
345000	-9251.163086	3189.852539	1.063816071	1.341700196	2682.047852
350000	-9299.767578	3272.268555	1.091301918	1.475826144	2674.539795
355000	-9214.505859	3236.665039	1.079428077	1.420707583	2691.755127
360000	-9274.424805	3316.58252	1.106080532	1.525187135	2688.250977
365000	-9206.674805	3228.442383	1.076685786	1.512975335	2667.546875
370000	-9177.96875	3223.5271	1.075046539	1.365966201	2680.250732
375000	-9314.900391	3204.144287	1.068582416	1.442025304	2670.27832
380000	-9324.319336	3270.083008	1.090572953	1.611733556	2650.625244
385000	-9220.211914	3225.162109	1.075591922	1.576910734	2665.796143
390000	-9320.496094	3316.848389	1.106169224	1.489052415	2659.355957
395000	-9163.472656	3268.891602	1.090175629	1.482327342	2680.99585
400000	-9245.732422	3310.761963	1.104139447	1.492565513	2672.12085
405000	-9235.007812	3272.505859	1.091381073	1.573243976	2678.374756
410000	-9361.400391	3364.091309	1.121924758	1.361997843	2660.055664
415000	-9177.521484	3195.600098	1.065732956	1.384355664	2709.265869
420000	-9168.414062	3259.40332	1.087011337	1.403534293	2665.318604
425000	-9286.956055	3429.445312	1.143720388	1.368890643	2672.560791
430000	-9109.9375	3317.947266	1.106535673	1.436578155	2691.591309
435000	-9258.220703	3253.300293	1.084975958	1.491940141	2687.625244
440000	-9314.805664	3277.257812	1.092965841	1.329476714	2679.577637
445000	-9164.387695	3216.800781	1.072803378	1.551117301	2658.682129
450000	-9423.75	3289.593994	1.097079873	1.551600575	2633.084717
455000	-9369.954102	3292.645996	1.098097801	1.574776053	2669.927979
460000	-9356.013672	3307.888184	1.103181005	1.429544449	2674.588379
465000	-9185.44043	3351.430176	1.117702246	1.430323124	2681.312256
470000	-9166.001953	3285.862549	1.095835447	1.318065405	2720.086182
475000	-9166.296875	3347.13916	1.116271257	1.44535017	2696.570312
480000	-9298.46582	3287.635254	1.096426725	1.330874085	2679.049072
485000	-9272.038086	3250.37915	1.08400178	1.681142807	2648.496094
490000	-9215.365234	3172.847412	1.058144927	1.446513891	2667.836182
495000	-9163.824219	3231.161621	1.077592731	1.465453386	2675.110107
500000	-9162.716797	3334.518799	1.112062335	1.804280996	2682.639893
505000	-9240.970703	3410.263672	1.13732326	1.426159143	2672.444824
510000	-9095.393555	3268.504395	1.090046525	1.60671258	2690.889648
515000	-9242.949219	3291.866699	1.097837806	1.546885014	2665.692871
520000	-9180.561523	3422.31543	1.141342521	1.529022932	2690.749512
525000	-9302.683594	3355.635254	1.119104624	1.455805421	2688.517334
530000	-9223.762695	3171.567871	1.057718158	1.525491834	2673.893066
535000	-9298.824219	3243.12793	1.0815835	1.488639474	2662.83374
540000	-9257.869141	3238.081055	1.079900384	1.522510529	2674.92041
545000	-9328.601562	3368.537842	1.123407722	1.541956306	2657.768311
550000	-9306.90625	3249.549072	1.083724976	1.57298696	2658.700684
555000	-9313.605469	3279.358887	1.093666553	1.518661022	2658.752686
560000	-9353.060547	3206.580566	1.069394946	1.643771768	2640.935791
565000	-9282.589844	3271.05957	1.090898633	1.603622437	2678.0354
570000	-9412.9375	3258.519531	1.086716533	1.442133427	2644.69043
575000	-9414.019531	3353.723145	1.118466973	1.528357387	2638.133789
580000	-9247.625	3346.145996	1.115939975	1.666973829	2648.216064
585000	-9211.3125	3249.906982	1.083844304	1.327209711	2688.541016
590000	-9210.139648	3321.240723	1.107634068	1.726516724	2655.457764
595000	-9252.041016	3392.531738	1.131409645	1.305802703	2709.459961
600000	-9217.37793	3242.4729	1.081364989	1.39928329	2679.673584
605000	-9261.191406	3282.890381	1.094844222	1.611558914	2656.151123
610000	-9195.220703	3234.122559	1.078580141	1.354834318	2710.932861
615000	-9234.855469	3264.660889	1.088764668	1.448941588	2689.123047
620000	-9257.461914	3248.99707	1.083540797	1.515700579	2659.158691
625000	-9164.024414	3322.721436	1.108127952	1.526402712	2690.425293
630000	-9344.604492	3484.77832	1.162173867	1.59376967	2654.18042
635000	-9239.231445	3414.212402	1.138640165	1.568470716	2677.036621
640000	-9161.494141	3291.674805	1.09777391	1.46095109	2717.986328
645000	-9143.676758	3391.703613	1.131133437	1.602057815	2683.228027
650000	-9222.6875	3268.274414	1.089969873	1.465854645	2685.7771
655000	-9337.723633	3288.111084	1.096585393	1.485466719	2667.174561
660000	-9307.296875	3322.58252	1.108081579	1.493361473	2677.487061
665000	-9212.091797	3389.287598	1.130327702	1.72913301	2660.6875
670000	-9190.397461	3261.10498	1.087578773	1.37440753	2689.794922
675000	-9309.919922	3371.376465	1.124354362	1.502159119	2662.602539
680000	-9208.707031	3340.684082	1.114118457	1.429100394	2692.152832
685000	-9309.429688	3334.50293	1.11205709	1.408238292	2672.030518
690000	-9340.061523	3271.722168	1.091119647	1.709404111	2638.817383
695000	-9299.917969	3386.447754	1.129380703	1.50097537	2680.928955
700000	-9200.390625	3227.664795	1.076426506	1.526344657	2669.117676
705000	-9224.164062	3365.112305	1.12226522	1.475942612	2676.685547
710000	-9108.929688	3367.572266	1.123085618	1.513914704	2694.903076
715000	-9294.935547	3329.61084	1.110425472	1.398351669	2689.427002
720000	-9345.513672	3308.746582	1.103467345	1.69878757	2631.361328
725000	-9372.176758	3242.349121	1.081323743	1.364297986	2649.412598
730000	-9257.606445	3247.389648	1.083004713	1.33581543	2690.200195
735000	-9188.286133	3337.185059	1.112951517	1.607362866	2665.96582
740000	-9187.964844	3320.595215	1.107418776	1.347592115	2696.411133
745000	-9407.509766	3338.591064	1.113420486	1.587430716	2646.116943
750000	-9160.828125	3215.003906	1.072204113	1.450205326	2709.107666
755000	-9259.452148	3212.001465	1.071202755	1.468598366	2672.768311
760000	-9272.763672	3349.904053	1.117193341	1.540528774	2640.490967
765000	-9182.695312	3311.137207	1.104264617	1.374553204	2686.032715
770000	-9258.933594	3217.669434	1.073093057	1.458633542	2680.635986
775000	-9249.75	3249.903809	1.083843231	1.405034304	2681.113281
780000	-9277.429688	3375.434814	1.125707865	1.399518132	2699.763916
785000	-9212.847656	3281.947754	1.094529867	1.522451758	2673.939697
790000	-9230.939453	3355.093262	1.118923903	1.543943644	2669.821045
795000	-9326.460938	3319.091553	1.106917381	1.757571459	2629.416748
800000	-9300.398438	3250.960449	1.084195614	1.443278193	2668.02124
805000	-9278.230469	3332.093262	1.111253381	1.623883843	2663.775635
810000	-9195.803711	3278.000977	1.093213677	1.656066895	2679.143799
815000	-9249.035156	3308.792969	1.103482723	1.295125842	2686.523193
820000	-9294.707031	3370.420898	1.124035716	1.76652348	2651.001709
825000	-9329.341797	3326.660645	1.109441638	1.324714899	2674.397949
830000	-9121.205078	3227.557617	1.076390743	1.544440985	2694.446533
835000	-9281.523438	3321.138672	1.107600093	1.422880173	2677.587158
840000	-9171.655273	3262.555664	1.088062644	1.340048552	2710.405029
845000	-9204.115234	3331.458984	1.111041903	1.48975122	2664.473145
850000	-9238.269531	3171.144775	1.057577133	1.305335045	2684.498535
855000	-9370.355469	3252.594238	1.08474052	1.621804476	2642.569824
860000	-9317.408203	3311.10791	1.104254842	1.481907129	2670.358154
865000	-9324.574219	3199.186523	1.066928983	1.379857302	2674.765381
870000	-9217.144531	3276.958252	1.092865944	1.527993441	2670.33374
875000	-9249.611328	3368.231934	1.123305678	1.3942945	2697.862305
880000	-9197.085938	3281.03833	1.094226599	1.507580161	2691.879395
885000	-9230.65332	3383.872559	1.1285218	1.702885628	2655.050537
890000	-9096.0625	3314.968262	1.105542183	1.617657185	2686.304443
895000	-9244.029297	3362.116699	1.121266246	1.569108963	2679.318359
900000	-9335.878906	3265.822021	1.089151978	1.459352016	2670.524414
905000	-8983.469727	3315.902344	1.105853796	1.500952005	2714.549316
910000	-9269.558594	3322.410889	1.108024359	1.4686023	2677.385498
915000	-9203.09668	3280.387207	1.094009399	1.619651318	2674.603027
920000	-9211.1875	3408.65332	1.136786222	1.607210398	2690.598145
925000	-9065.254883	3267.969971	1.089868307	1.634512186	2693.442139
