timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-373.5703125	0	0	-0.04595508054	16000
5000	-13523.23047	294.5498047	0.0982323885	1.496972799	1995.105957
10000	-13224.86328	738.604126	0.2463245392	1.439032197	2043.205566
15000	-12787.43359	1234.133301	0.4115835726	1.558522224	2090.634521
20000	-12603.30078	1439.084595	0.4799348414	1.506795287	2116.062256
25000	-12695.70312	1312.445557	0.4377007186	1.461940765	2104.519775
30000	-12935.33789	1161.637207	0.3874061108	1.513365746	2080.984375
35000	-13237.7207	1139.419922	0.3799966574	1.457378387	2052.895996
40000	-13380.07812	1158.875732	0.3864851594	1.347857475	2037.44165
45000	-13360.78613	1262.866943	0.4211662412	1.505821824	2037.452759
50000	-13475.13867	1239.762329	0.4134608507	1.426945925	2019.220947
55000	-13812.09375	1184.641602	0.3950780928	1.428140163	1985.612793
60000	-13863.34375	1165.571533	0.3887182176	1.472078562	1982.392578
65000	-13862.86133	1222.842651	0.4078181386	1.340501308	1991.059448
70000	-13819.08008	1202.765869	0.4011225402	1.443060279	1987.348389
75000	-13864.66992	1185.871216	0.3954881728	1.359084487	1989.489868
80000	-13871.60254	1193.031738	0.3978762031	1.600816846	1981.53833
85000	-13830.48828	1182.445679	0.3943457603	1.518100262	1984.430176
90000	-13891.07227	1237.278564	0.412632525	1.407314301	1981.907959
95000	-13847.16797	1169.079834	0.389888227	1.536569834	1983.650024
100000	-13880.4375	1204.502686	0.4017017484	1.447388887	1987.523926
105000	-13852.80078	1196.098633	0.3988990188	1.396238685	1989.726074
110000	-13886.42578	1219.323486	0.4066444933	1.436056137	1986.107666
115000	-13867.66406	1153.782715	0.3847866356	1.432564378	1990.999146
120000	-13871.53125	1157.828979	0.3861360848	1.65005517	1979.290527
125000	-13881.76172	1205.787476	0.4021302462	1.623209476	1978.605347
130000	-13877.01953	1238.759521	0.4131264091	1.324289322	1989.299438
135000	-13858.35156	1216.696045	0.4057682455	1.47053194	1984.597046
140000	-13871.47656	1190.851685	0.3971491456	1.637664914	1977.723755
145000	-13902.92969	1179.196411	0.3932621181	1.688755631	1977.729492
150000	-13879.40527	1184.476074	0.3950228691	1.422596693	1985.061035
155000	-13879.03125	1220.708618	0.4071064293	1.434505701	1988.415894
160000	-13876.38672	1208.147217	0.4029172063	1.664383531	1977.216675
165000	-13897.30859	1183.47876	0.3946902752	1.596376419	1982.740234
170000	-13913.29297	1181.452637	0.3940145671	1.607892513	1976.483643
175000	-13891.44238	1224.308594	0.4083070457	1.330860257	1988.206055
180000	-13891.83984	1236.163208	0.4122605324	1.666462064	1974.329346
185000	-13893.48828	1184.848877	0.3951472044	1.417640686	1986.724487
190000	-13903.125	1175.483032	0.3920237124	1.552416325	1978.617188
195000	-13885.58984	1182.575684	0.3943890929	1.52557683	1986.455688
200000	-13892.31738	1205.299561	0.4019675255	1.483875632	1985.538818
205000	-13901.34082	1205.174438	0.4019258022	1.589982629	1980.936646
