timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-373.5703125	0	0	-0.04595508054	16000
5000	-13658.97656	235.8947449	0.07867091894	1.452794075	1993.119629
10000	-13637.30664	497.3686829	0.1658724993	1.536645293	1993.744873
15000	-13151.66992	1001.864319	0.3341218531	1.705394387	2044.026978
20000	-12949.68359	1260.020142	0.4202168286	1.370339274	2089.271973
25000	-13487.5332	851.2313843	0.2838857472	1.45934701	2023.102539
30000	-13773.58594	678.2770386	0.2262054533	1.453564048	1987.506958
35000	-13662.62109	849.875	0.2834334075	1.499444842	1998.544678
40000	-13547.9834	1081.469238	0.3606700897	1.444734335	2010.282837
45000	-14055.02734	897.0249023	0.2991578877	1.381894112	1966.744751
50000	-14246.94434	730.3591309	0.2435748428	1.432999969	1940.412231
55000	-14055.31836	924.7164307	0.3083930314	1.437768579	1958.682251
60000	-13867.9707	1080.996582	0.3605124652	1.520932078	1973.20459
65000	-14139.36328	848.9199219	0.2831148803	1.505897641	1947.009399
70000	-14221.11328	744.9101562	0.2484276146	1.596783757	1933.511597
75000	-13982.67578	949.810791	0.3167620003	1.608458519	1954.858276
80000	-13916.14062	1031.769043	0.3440950811	1.443838716	1966.80127
85000	-14178.84668	802.4958496	0.2676324546	1.536334872	1936.805176
90000	-14209.95898	782.1580811	0.2608498037	1.390601158	1936.638306
95000	-13946.55664	1036.021729	0.3455133438	1.498347044	1955.695801
100000	-13996.37891	985.5457764	0.3286796212	1.571433425	1949.363159
105000	-14221.56152	771.7283936	0.2573714852	1.520485044	1930.060181
110000	-14146.20703	846.5025024	0.2823086679	1.39577508	1941.338623
115000	-13931.89844	1051.178711	0.3505682051	1.670643449	1954.241333
120000	-14082.16113	909.1060791	0.3031869531	1.486981392	1942.590454
125000	-14241.84668	783.3460083	0.261245966	1.612488508	1926.602661
130000	-14116.24609	912.6973877	0.3043846786	1.407683492	1950.941895
135000	-13979.57031	1029.954468	0.3434899151	1.409893155	1959.492676
140000	-14167.67188	843.168457	0.2811967731	1.256844282	1943.235962
145000	-14221.39551	782.2494507	0.2608802617	1.611430407	1925.723877
150000	-14053.80273	981.4936523	0.3273282349	1.590761423	1948.818604
155000	-14010.42773	989.1000366	0.329864949	1.647063613	1946.989136
160000	-14200.39453	785.0390015	0.261810571	1.332240343	1937.033691
165000	-14197.11035	834.7345581	0.2783840597	1.594918251	1931.888428
170000	-13987.18262	999.7668457	0.333422333	1.629351735	1948.194946
175000	-14085.03125	960.1508789	0.3202103972	1.602584958	1940.678467
180000	-14239.64551	792.3128662	0.2642364204	1.431649804	1932.620483
185000	-14158.83789	897.2687988	0.2992392182	1.467513084	1938.468506
190000	-13982.75977	1017.652588	0.339387238	1.588624239	1952.942261
195000	-14130.86914	890.2211304	0.2968888283	1.581674457	1938.552124
200000	-14248.36523	813.0013428	0.2711360157	1.542272329	1927.306641
205000	-14103.15625	942.0479736	0.3141731024	1.489561796	1943.864624
210000	-14003.57812	1006.508606	0.3356707096	1.712095141	1944.85022
215000	-14185.72656	848.9133301	0.283112675	1.54885304	1934.661865
220000	-14215.31348	828.2613525	0.276225239	1.433049321	1931.046387
225000	-14028.95312	965.2541504	0.3219123483	1.55376482	1948.826416
230000	-14051.45312	973.5241699	0.3246704042	1.601991177	1944.970459
235000	-14212.63574	819.4179688	0.2732759714	1.675420403	1927.229004
240000	-14141.94922	836.888916	0.2791025341	1.61143136	1936.005493
245000	-13985.9541	975.1806641	0.3252228498	1.496685505	1953.775879
250000	-14103.40234	909.4215088	0.3032921553	1.568464279	1940.927002
255000	-14219.77148	805.3549805	0.2685859501	1.583186507	1927.724121
260000	-14119.64844	913.9036865	0.3047869802	1.521960258	1940.039795
265000	-13996.8623	981.2680664	0.327252984	1.35930717	1957.411743
270000	-14155.75	859.9914551	0.2868072391	1.510645628	1939.705078
275000	-14204.6416	807.8602295	0.2694214582	1.248455524	1941.411133
280000	-14083.33594	957.7572632	0.319412142	1.242692471	1952.113281
285000	-14058.21582	986.0196533	0.3288376331	1.45919311	1948.501953
290000	-14183.48828	830.3356934	0.2769170403	1.589414239	1932.379395
295000	-14188.97852	869.4052734	0.2899467349	1.622385383	1931.413818
300000	-14026.44922	971.1657104	0.3238838613	1.557334423	1946.092163
305000	-14078.28125	920.0131836	0.3068244755	1.49086833	1944.307129
310000	-14232.38477	856.3244629	0.2855843008	1.538794041	1930.194702
315000	-14165.20703	921.1846924	0.307215184	1.619368434	1935.212769
320000	-14035.37305	990.2219238	0.3302391171	1.45618248	1950.653687
325000	-14124.75391	883.992981	0.2948117554	1.486111879	1941.500244
330000	-14187.44434	815.2592163	0.2718890309	1.451411009	1934.198608
335000	-14078.88086	918.5161133	0.3063251972	1.54011786	1941.848145
340000	-14053.32324	976.0717163	0.3255200088	1.576732755	1945.584961
345000	-14151.69238	843.0667725	0.281162858	1.428340435	1938.018677
350000	-14162.5918	835.5840454	0.2786673605	1.494951367	1937.813477
355000	-14065.79102	970.4251099	0.3236368597	1.491540909	1944.756348
360000	-14065.74023	929.706665	0.3100572526	1.545224667	1945.431519
365000	-14185.19531	828.7168579	0.2763771415	1.541184902	1937.555298
370000	-14145.85938	884.2612305	0.2949011922	1.441990614	1937.999634
375000	-14059.49023	986.3694458	0.3289543092	1.341639161	1953.037964
380000	-14109.91016	892.4151611	0.2976205349	1.708366275	1935.193115
385000	-14207.44629	847.9547119	0.2827929854	1.53193891	1934.112915
390000	-14102.11426	909.3087158	0.3032545447	1.447452664	1947.010986
395000	-14053.73535	967.0580444	0.322513938	1.629216433	1941.554565
400000	-14136.09473	868.2289429	0.2895544469	1.566934466	1937.203979
405000	-14176.29492	858.670105	0.2863665521	1.418672442	1935.885742
410000	-14074.47852	917.9857178	0.3061483204	1.580358386	1943.915161
415000	-14073.69922	945.6679688	0.3153803647	1.467594147	1945.54895
420000	-14161.34961	855.9972534	0.2854751647	1.491548181	1939.552612
425000	-14162.28125	875.7351074	0.2920577526	1.527717113	1938.654663
430000	-14053.98047	941.9577026	0.3141429722	1.529841781	1947.482666
435000	-14105.48828	919.2994385	0.3065864444	1.60556674	1939.742065
440000	-14174.68848	852.0805664	0.2841689587	1.511662126	1936.239624
445000	-14124.42773	892.4439697	0.297630161	1.391101956	1948.565063
450000	-14068.86523	958.0516357	0.3195103109	1.400553942	1949.331543
455000	-14141.14062	907.4123535	0.3026221097	1.590506077	1936.18689
460000	-14158.07031	844.8587646	0.281760484	1.608289242	1936.178467
465000	-14087.18359	921.1618652	0.3072075546	1.558497667	1943.860718
470000	-14063.30859	927.3239746	0.3092626333	1.436099172	1950.250244
475000	-14150.35156	863.0405884	0.2878241241	1.483326197	1937.243896
480000	-14158.39746	872.6650391	0.291033864	1.483628154	1938.873291
485000	-14081.85938	948.4418945	0.3163054585	1.551104069	1943.457031
490000	-14106.60645	933.1148682	0.3111938834	1.418139219	1945.700073
495000	-14158.2832	840.8804932	0.2804337144	1.43593204	1937.169312
500000	-14120.9375	892.1350098	0.2975271046	1.475441575	1940.495117
505000	-14065.29688	942.1796265	0.3142170012	1.541564107	1947.22522
510000	-14121.375	876.6828613	0.2923738062	1.528414845	1942.858154
515000	-14152.01758	848.1147461	0.2828463614	1.59479022	1933.982056
520000	-14091.48047	912.722168	0.3043929338	1.487902403	1942.827271
525000	-14092.72461	944.348877	0.3149404526	1.505697608	1945.00061
530000	-14165.08594	884.6741333	0.2950389087	1.461242199	1937.053833
535000	-14143.41406	867.2796021	0.2892378271	1.510702372	1938.00293
540000	-14052.30762	896.9396362	0.2991294563	1.401638389	1949.053589
545000	-14100.05762	927.6151733	0.3093597591	1.433171749	1945.824707
550000	-14170.48828	870.7057495	0.2903804481	1.425019264	1937.807373
555000	-14130.61816	882.7738647	0.2944051623	1.398575425	1941.175415
560000	-14053.89453	921.913147	0.3074581325	1.595098376	1945.309082
565000	-14106.52148	906.6854248	0.3023796678	1.585573912	1940.099365
570000	-14154.93359	841.935791	0.2807856798	1.503798485	1933.818115
575000	-14111.37988	892.9060059	0.2977842391	1.4707582	1942.300903
580000	-14069.35254	946.1563721	0.3155432343	1.434726	1948.650391
585000	-14118.4668	887.5526123	0.2959988713	1.5353297	1938.033203
590000	-14169.9668	869.1286011	0.2898544669	1.610999465	1933.306152
595000	-14099.25391	905.4177246	0.301956892	1.407309651	1946.964478
600000	-14065.60449	921.9595947	0.3074735999	1.495135427	1945.43042
605000	-14137.59375	858.4781494	0.2863025367	1.451731563	1940.648193
610000	-14153.25195	885.6977539	0.2953802943	1.504506826	1937.84314
615000	-14092.29297	931.9468994	0.3108043671	1.344283938	1949.913696
620000	-14093.52344	901.3598633	0.3006035984	1.587591052	1939.022827
625000	-14156.98828	876.6872559	0.2923752964	1.476434588	1937.962524
630000	-14110.1543	892.8258057	0.2977574766	1.480999827	1941.825195
635000	-14069.49414	914.0788574	0.3048453927	1.499162316	1944.453247
640000	-14109.1084	882.1571045	0.2941994667	1.727843881	1933.99707
645000	-14139.95898	859.8088989	0.2867463529	1.474407196	1939.608643
650000	-14115.12793	926.2255859	0.308896333	1.399603963	1946.015869
655000	-14086.72363	917.0368652	0.3058318794	1.662115455	1941.211914
660000	-14148.9375	894.0476074	0.2981649637	1.449211121	1940.121094
665000	-14128.96289	865.0595703	0.288497448	1.548182368	1940.911255
670000	-14096.01172	928.4358521	0.3096334338	1.670181155	1939.012817
675000	-14103.7959	914.302002	0.3049198091	1.523307681	1942.818848
680000	-14146.39453	868.0370483	0.2894904315	1.513978601	1937.703125
685000	-14130.50781	898.7845459	0.2997447252	1.406278968	1941.646606
690000	-14080.04199	920.0285645	0.3068296015	1.389700174	1947.80249
695000	-14124.69141	902.8868408	0.3011128604	1.50819242	1939.94458
700000	-14128.57227	850.369812	0.283598423	1.531459689	1937.285767
705000	-14117.67773	932.479248	0.3109819293	1.643325329	1938.627686
710000	-14086.2373	922.5064087	0.3076559603	1.535158396	1944.518311
715000	-14129.02734	867.2362061	0.2892233431	1.533019304	1938.588501
720000	-14132.03809	863.9407349	0.2881243229	1.558370829	1937.504761
725000	-14099.34277	938.3452759	0.3129382432	1.538237453	1941.349243
730000	-14115.02734	926.5096436	0.3089910448	1.431072712	1942.956421
735000	-14144.53906	871.4398193	0.2906252742	1.625582814	1935.273804
740000	-14119.10645	881.2250977	0.2938886583	1.378654361	1944.104492
745000	-14073.0293	921.934021	0.3074650764	1.605496764	1941.155273
750000	-14110.55273	892.0085449	0.2974849343	1.588252902	1939.955688
755000	-14154.08301	877.0084839	0.2924824059	1.396593094	1939.340576
760000	-14094.27148	896.7077637	0.2990521193	1.445805788	1944.268921
765000	-14100.63672	914.708374	0.3050553203	1.337613106	1948.974854
