timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-373.5703125	0	0	-0.04595508054	16000
5000	-6331.555664	4313.583008	1.438580394	1.637742758	2990.999756
10000	-4203.169922	5946.091797	1.983022213	1.578826189	3918.557129
15000	-3920.482422	5941.533203	1.981501937	1.467546582	4038.645996
20000	-3916.958008	5400.202148	1.800967932	1.481666565	3900.174316
25000	-4103.962891	5473.549805	1.82542932	1.497073531	3763.963623
30000	-4130.272461	5313.758789	1.772139072	1.508631706	3703.910645
35000	-4115.574219	5299.239258	1.767296791	1.372087359	3738.391602
40000	-3921.480713	5298.413086	1.767021298	1.472421169	3798.833496
45000	-4048.668457	5534.067383	1.845612049	1.448882341	3823.772949
50000	-3973.548828	5583.09668	1.861963272	1.560845733	3749.786865
55000	-4103.526855	5567.55957	1.856781602	1.433586478	3761.508789
60000	-4039.265625	5216.209473	1.73960638	1.562420487	3720.894287
65000	-4012.02417	5284.28418	1.762309313	1.287309408	3790.057129
70000	-4134.427246	5575.803711	1.859531045	1.698277593	3668.692871
75000	-4086.879639	5241.620117	1.74808085	1.472728729	3775.770996
80000	-4083.406738	5381.955078	1.794882536	1.482230067	3744.127686
85000	-4057.650635	5389.996094	1.797564149	1.405790806	3821.158203
90000	-4070.759033	5309.617188	1.770757794	1.622818708	3723.449463
95000	-3901.632324	5285.629395	1.762757897	1.47796917	3788.921387
100000	-4129.636719	5532.098633	1.844955444	1.496557713	3751.292969
105000	-4075.400879	5429.024414	1.810580134	1.452088237	3799.437256
110000	-4232.117188	5372.292969	1.79166019	1.453345418	3717.439453
115000	-4230.510254	5355.97168	1.786217093	1.466475606	3717.89624
120000	-4171.075195	5245.29541	1.74930656	1.445279002	3750.99707
125000	-4097.826172	5321.668457	1.774776936	1.481052041	3726.011475
130000	-4206.908691	5274.935547	1.759191513	1.588699102	3698.651855
135000	-4233.645996	5632.32959	1.878382444	1.455232978	3729.378174
140000	-4109.552734	5335.569824	1.779412985	1.641300797	3748.102051
145000	-4207.443848	5090.568848	1.69770515	1.511499763	3705.006348
150000	-4145.983887	5562.339355	1.855040669	1.447695374	3762.653564
155000	-4063.642334	5331.729004	1.778132081	1.530751109	3724.587158
160000	-4018.59082	5319.277344	1.773979545	1.474207282	3724.710449
165000	-4115.397461	5354.233398	1.785637379	1.419279337	3711.251953
170000	-4031.514648	5477.078125	1.826606035	1.511513829	3749.943604
175000	-3969.340332	5386.873535	1.796522856	1.475990534	3823.697021
