timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-396.2109375	0	0	-0.04874023795	16000
5000	-11254.58789	1820.428467	0.6071130633	1.540721774	2221.265381
10000	-9431.150391	3097.272461	1.032940626	1.456090093	2597.962646
15000	-8847.873047	3529.869629	1.177211881	1.481387019	2782.611572
20000	-8544.417969	3709.801514	1.237219214	1.329026103	2861.940918
25000	-8680.737305	3900.435059	1.300795436	1.402673721	2842.320068
30000	-8953.1875	4000.109375	1.334036827	1.442314267	2852.661865
35000	-8803.097656	4013.418457	1.338475466	1.724292278	2841.802246
40000	-8830.216797	3826.93457	1.276283026	1.511466026	2871.994385
45000	-8975.09668	3910.023926	1.303993344	1.62853241	2808.148682
50000	-9101.791016	4018.54541	1.340185285	1.672582507	2781.025879
55000	-9181.275391	3935.962402	1.312643886	1.309689164	2830.561279
60000	-9283.978516	3981.202637	1.32773149	1.240987539	2842.37793
65000	-9493.650391	3939.770996	1.313913941	1.514321685	2786.970947
70000	-9388.303711	4015.047852	1.339018822	1.739171028	2778.388428
75000	-9343.248047	3879.357666	1.293766141	1.473133564	2816.893066
80000	-9505.899414	3916.8125	1.306257367	1.480374217	2796.300293
85000	-9562.242188	3967.208496	1.323064446	1.448928952	2791.435059
90000	-9336.419922	3792.062988	1.264653325	1.346490264	2830.737793
95000	-9543.248047	3881.055664	1.294332385	1.553753734	2787.757812
100000	-9536.408203	3928.380371	1.310115218	1.408814788	2810.298096
105000	-9391.839844	4018.519287	1.340176582	1.699985147	2788.543945
110000	-9388.712891	3885.508301	1.295817375	1.544237494	2818.116211
115000	-9509.672852	3929.159668	1.310375094	1.508147359	2802.217773
120000	-9453.412109	3934.586426	1.31218493	1.406832695	2840.591797
125000	-9396.325195	3859.108887	1.287013173	1.64385283	2805.009521
130000	-9410.700195	3922.434326	1.308132172	1.725551248	2799.263428
135000	-9519.947266	3836.674316	1.27953124	1.530543327	2807.70166
140000	-9411.463867	3909.988281	1.303981423	1.448355913	2824.181641
145000	-9533.683594	3991.327881	1.331108212	1.580824733	2795.647217
150000	-9427.882812	3915.195068	1.305717945	1.493567109	2831.067627
155000	-9448.140625	3831.431152	1.277782679	1.458574772	2795.884033
160000	-9370.982422	3866.36499	1.289433122	1.45956254	2828.498047
165000	-9647.841797	4010.073242	1.337359786	1.629526734	2776.948242
170000	-9572.941406	3848.259521	1.283394933	1.454506636	2814.83667
175000	-9681.589844	3821.140137	1.274350643	1.456479907	2762.149658
180000	-9530.583984	3810.672852	1.270859718	1.65695262	2783.803467
185000	-9673.416016	3924.361328	1.308774829	1.469129562	2785.817627
190000	-9600.103516	3743.980469	1.248617887	1.281832457	2811.930664
195000	-9393.680664	3762.75415	1.254878879	1.673766255	2826.88623
200000	-9489.337891	3864.412109	1.288781762	1.276997685	2854.702637
205000	-9509.704102	3979.42627	1.32713902	1.707869172	2802.43335
210000	-9480.416016	3860.918213	1.287616611	1.541647077	2789.614746
215000	-9439.017578	3855.658936	1.285862565	1.623557806	2788.800537
220000	-9487.572266	3847.656738	1.283193946	1.371081829	2813.218506
225000	-9558.530273	3902.712891	1.301555157	1.526447058	2796.152832
230000	-9463.580078	3908.705811	1.3035537	1.526725292	2786.187988
235000	-9351.888672	3785.100098	1.262331247	1.18524766	2823.62085
240000	-9397.707031	3851.550781	1.284492493	1.403602123	2807.283447
245000	-9406.181641	3876.245605	1.292728305	1.472942114	2811.533447
250000	-9660.242188	3865.894043	1.289276004	1.550118089	2778.453369
255000	-9395.78418	3775.935547	1.25927484	1.594991088	2795.323242
260000	-9318.857422	3957.401611	1.31979382	1.525195599	2833.186768
265000	-9290.514648	3922.806152	1.308256269	1.32838881	2845.526367
270000	-9284.577148	3881.788086	1.294576645	1.627251863	2837.558594
275000	-9282.383789	3901.577148	1.30117631	1.526801586	2841.160156
280000	-9269.710938	3961.261719	1.321081161	1.522328615	2824.306396
285000	-9510.789062	3898.263184	1.30007112	1.62398088	2799.179688
290000	-9560.198242	4050.560791	1.350862384	1.439244509	2815.259033
295000	-9404.910156	3916.735107	1.306231499	1.362942934	2839.125244
300000	-9472.970703	3965.888184	1.322624087	1.444563866	2803.76709
