timestep	potential_energy	kinetic_energy	temperature	pressure	volume
0	-381.4453125	0	0	-0.04692383111	16000
5000	-7679.776367	2931.058594	0.9775083065	1.497133374	2508.218262
10000	-5367.182129	4544.966797	1.515746832	1.451360583	3227.620605
15000	-4390.089844	5450.611328	1.817779422	1.41083765	3731.657959
20000	-4165.871094	5604.302734	1.869035482	1.477159023	3793.502441
25000	-4076.562988	5528.922852	1.84389627	1.478502274	3775.75415
30000	-4232.152344	5346.757812	1.783144236	1.588627338	3670.405518
35000	-4203.359375	5345.013672	1.782562613	1.603624105	3654.548828
40000	-4084.991455	5330.259766	1.777642131	1.372713685	3794.496826
45000	-4236.117188	5584.172852	1.862322211	1.533557057	3722.447754
50000	-4553.321289	5388.570801	1.797088861	1.483201504	3682.128418
55000	-4206.976562	5381.264648	1.794652224	1.576004863	3707.628174
60000	-4219.895508	5491.026367	1.83125782	1.316736102	3801.999512
65000	-4218.794434	5337.587402	1.780085921	1.315655708	3726.483643
70000	-4150.378418	5345.571289	1.78274858	1.649440527	3656.908691
75000	-4236.674805	5456.083984	1.819604516	1.466695547	3761.277832
80000	-4352.249023	5322.675781	1.775112867	1.409045219	3815.086914
85000	-4461.083984	5432.417969	1.811711907	1.398500085	3714.196533
90000	-4405.535156	5357.196289	1.786625504	1.495594382	3700.867676
95000	-4386.224609	5515.595703	1.839451671	1.540976524	3619.230713
100000	-4502.630859	5546.117188	1.849630594	1.353422761	3776.949219
105000	-4384.699219	5393.09375	1.798597336	1.653190851	3663.224121
110000	-4365.916992	5381.480469	1.794724226	1.567537308	3720.280762
115000	-4413.089355	5456.58252	1.819770813	1.495568037	3742.815186
120000	-4771.282715	5355.985352	1.786221623	1.598732591	3594.94751
125000	-4705.958008	5303.219238	1.768624067	1.492242217	3656.369141
130000	-4704.458496	5350.380859	1.784352541	1.625190854	3620.370361
135000	-4718.571289	5242.763672	1.7484622	1.463175058	3621.523682
140000	-4559.203125	5270.571777	1.757736206	1.456520438	3701.399902
145000	-4713.113281	5391.27002	1.797989011	1.484241486	3607.399414
150000	-4471.628906	5238.371582	1.746997476	1.383642793	3780.05542
155000	-4544.175781	5339.889648	1.780853748	1.433288813	3709.030029
160000	-4432.750977	5307.833008	1.770162821	1.364986897	3718.621094
165000	-4600.233398	5480.008789	1.827583432	1.422897458	3695.27417
170000	-4647.949219	5472.791504	1.825176477	1.552609205	3694.95874
175000	-4509.382324	5465.626465	1.822786927	1.600596189	3673.902588
180000	-4545.164062	5345.241211	1.782638431	1.527511597	3659.087646
185000	-4480.972656	5379.940918	1.794210792	1.491062164	3729.601807
190000	-4604.974121	5416.36377	1.806357861	1.404813409	3708.644775
195000	-4558.84668	5476.733887	1.826491237	1.599397421	3650.012939
